delay,condition,textbox.text,,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,200,,,,,,,
0.7,exp,600,,,,,,,
0.7,exp,200,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,600,,,,,,,
0.7,exp,300,,,,,,,
0.7,exp,500,,,,,,,
0.7,exp,300,,,,,,,
0.7,exp,200,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,600,,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,300,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,"1000
",,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,"1000
 ",,,,,,,
0.7,exp,100,,,,,,,
0.1,unexp,200,,,,,,,
0.1,unexp,1000,,,,,,,
0.1,unexp,1000,,,,,,,
0.1,unexp,400,,,,,,,
0.1,unexp,500,,,,,,,
0.1,unexp,1000,,,,,,,
0.1,unexp,700,,,,,,,
0.1,unexp,1000,,,,,,,
0.1,unexp,"300
",,,,,,,
0.1,unexp,700,,,,,,,
0.1,unexp,700,,,,,,,
0.1,unexp,200,,,,,,,
0.1,unexp,1000,,,,,,,
0.1,unexp,"400
",,,,,,,
0.1,unexp,700,,,,,,,
0.1,unexp,100,,,,,,,
0.1,unexp,1000,,,,,,,
0.1,unexp,1000,,,,,,,
0.1,unexp,200,,,,,,,
0.1,unexp,300,,,,,,,
0.1,unexp,500,,,,,,,
0.1,unexp,700,,,,,,,
0.1,unexp,100,,,,,,,
0.1,unexp,"200
",,,,,,,
0.1,unexp,500,,,,,,,
0.1,unexp,700,,,,,,,
0.1,unexp,500,,,,,,,
0.1,unexp,400,,,,,,,
0.1,unexp,600,,,,,,,
0.1,unexp,1000,,,,,,,
0.1,unexp,1000,,,,,,,
0.1,unexp,700,,,,,,,
0.1,unexp,400,,,,,,,
0.1,unexp,600,,,,,,,
0.1,unexp,1000,,,,,,,
0.4,unexp,400,,,,,,,
0.4,unexp,700,,,,,,,
0.4,unexp,200,,,,,,,
0.4,unexp,700,,,,,,,
0.4,unexp,100,,,,,,,
0.4,unexp,300,,,,,,,
0.4,unexp,399,,,,,,,
0.4,unexp,200,,,,,,,
0.4,unexp,700,,,,,,,
0.4,unexp,700,,,,,,,
0.4,unexp,700,,,,,,,
0.4,unexp,1000,,,,,,,
0.4,unexp,300,,,,,,,
0.4,unexp,"1000
",,,,,,,
0.4,unexp,300,,,,,,,
0.4,unexp,500,,,,,,,
0.4,unexp,590,,,,,,,
0.4,unexp,700,,,,,,,
0.4,unexp,300,,,,,,,
0.4,unexp,"200
",,,,,,,
0.4,unexp,200,,,,,,,
0.4,unexp,1000,,,,,,,
0.4,unexp,400,,,,,,,
0.4,unexp,1000,,,,,,,
0.4,unexp,500,,,,,,,
0.4,unexp,700,,,,,,,
0.4,unexp,1000,,,,,,,
