reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
95,143,43,12,12,0,l,1.3431009000014456,None,0,12,12,14,75.0266331999992,,75.02201889999924,75.0266331999992,76.01165899999978,76.01165899999978,76.01836189999813,77.35946499999773,l,1.3431009000014456,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
37,53,94,13,13,0,l,3.0346965999997337,None,0,13,13,13,77.36419629999727,,77.36188349999793,77.36419629999727,78.35089279999738,78.35089279999738,78.35875969999688,81.38980449999872,l,3.0346965999997337,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
20,29,19,14,14,0,l,3.2154126999994332,None,0,14,14,12,81.39831179999965,,81.39213759999984,81.39831179999965,82.3812388999977,82.3812388999977,82.39372529999673,85.59813529999883,l,3.2154126999994332,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
21,33,29,15,15,0,t,4.489151699999638,None,0,15,15,86,85.60474149999936,,85.6015370999994,85.60474149999936,86.59379639999679,86.59379639999679,86.59620749999885,91.0927386000003,t,4.489151699999638,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
32,43,15,16,16,0,t,4.193715299999894,None,0,16,16,20,91.10279649999939,,91.09518869999738,91.10279649999939,92.08132139999725,92.08132139999725,92.10069029999795,96.27576979999867,t,4.193715299999894,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
68,86,11,17,17,0,l,2.1239453999987745,None,0,17,17,98,96.28180280000015,,96.27840239999932,96.28180280000015,97.26900959999693,97.26900959999693,97.27517019999868,99.39341749999949,l,2.1239453999987745,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
64,93,154,18,18,0,t,1.957297799999651,None,0,18,18,87,99.40281299999697,,99.39574499999799,99.40281299999697,100.38587389999884,100.38587389999884,100.38943899999867,102.34619759999987,t,1.957297799999651,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
67,75,119,19,19,0,t,2.8599452000016754,None,0,19,19,5,102.35664980000001,,102.34887239999807,102.35664980000001,103.34106269999756,103.34106269999756,103.34697559999768,106.20137489999979,t,2.8599452000016754,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
26,41,14,20,20,0,l,2.3478685000009136,None,0,20,20,24,106.20881309999822,,106.2062678000002,106.20881309999822,107.19020969999838,107.19020969999838,107.20944819999931,109.54439189999903,l,2.3478685000009136,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
38,44,19,21,21,0,t,5.449216200002411,None,0,21,21,91,109.55370149999726,,109.54677199999787,109.55370149999726,110.54044169999906,110.54044169999906,110.54765029999908,115.99227219999739,t,5.449216200002411,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
