thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
21,0,21,-1,down,0,0.640071200003149,None,21,0,21,0,32.927168399997754,,32.92109540000092,32.927168399997754,33.91338199999882,33.92247590000625,34.55744279999635,-1,down,0,0.640071200003149,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
22,0,22,-4,up,1,0.5405299999983981,None,22,0,22,0,34.56239970000752,,34.55762629999663,34.56239970000752,35.55021040000429,35.55021040000429,36.0909762000083,-4,up,1,0.5405299999983981,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
23,0,23,0,up,1,0.547191899997415,None,23,0,23,0,36.09640059999947,,36.09109050000552,36.09640059999947,37.09540819999529,37.09540819999529,37.64835800000583,0,up,1,0.547191899997415,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
24,0,24,0,up,1,0.6976616000029026,None,24,0,24,0,37.65412910000305,,37.64847620000364,37.65412910000305,38.64228549999825,38.64734690000478,39.345383300009416,0,up,1,0.6976616000029026,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
25,0,25,0,up,1,0.7756366000103299,None,25,0,25,0,39.35146810000879,,39.345496099995216,39.35146810000879,40.33798229999957,40.34371960000135,41.12056029999803,0,up,1,0.7756366000103299,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
26,0,26,0,down,0,0.5028325000021141,None,26,0,26,0,41.12559989999863,,41.12070310000854,41.12559989999863,42.108736499998486,42.11343890000717,42.6167856999964,0,down,0,0.5028325000021141,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
27,0,27,-5,up,1,0.3446046000026399,None,27,0,27,0,42.62372740000137,,42.616979600003106,42.62372740000137,43.60535520000849,43.616366600006586,43.950345799996285,-5,up,1,0.3446046000026399,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
28,0,28,0,down,0,0.8632376000023214,None,28,0,28,0,43.957411099996534,,43.95046459999867,43.957411099996534,44.939011700000265,44.951069200003985,45.80545590000111,0,down,0,0.8632376000023214,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
29,0,29,0,down,0,1.0206023000064306,None,29,0,29,0,45.81197379999503,,45.80558290000772,45.81197379999503,46.79915790000814,46.80392849999771,47.82365269999718,0,down,0,1.0206023000064306,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
30,0,30,0,down,0,0.614458600000944,None,30,0,30,0,47.83028840000043,,47.8237705000065,47.83028840000043,48.8176805999974,48.82227760000387,49.43586720000894,0,down,0,0.614458600000944,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
31,0,31,0,up,1,0.5157922999933362,None,31,0,31,0,49.44163359999948,,49.435986800002865,49.44163359999948,50.42999360000249,50.42999360000249,50.94929859999684,0,up,1,0.5157922999933362,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
32,0,32,4,down,0,0.7767055000003893,None,32,0,32,0,50.95647330000065,,50.94942649999575,50.95647330000065,51.93872350000311,51.95141360000707,52.71954730000289,4,down,0,0.7767055000003893,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
33,0,33,0,up,1,0.6452939000009792,None,33,0,33,0,52.726712500007125,,52.71967000000586,52.726712500007125,53.708173100007116,53.72027540000272,54.357422900007805,0,up,1,0.6452939000009792,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
34,0,34,0,down,0,0.3897278000076767,None,34,0,34,0,54.36154690000694,,54.35754480000469,54.36154690000694,55.350912900001276,55.350912900001276,55.74344079999719,0,down,0,0.3897278000076767,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
35,0,35,0,down,0,0.31627840000146534,None,35,0,35,0,55.74955599999521,,55.743560600007186,55.74955599999521,56.732185000000754,56.73847399999795,57.052943000002415,0,down,0,0.31627840000146534,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
36,0,36,0,down,0,0.4071311000006972,None,36,0,36,0,57.059643600005074,,57.05305660000886,57.059643600005074,58.0466207999998,58.05380029999651,58.454165300005116,0,down,0,0.4071311000006972,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
37,0,37,0,down,0,1.2180553000071086,None,37,0,37,0,58.45979209999496,,58.45428050000919,58.45979209999496,59.44774469999538,59.45356140000513,60.67093819999718,0,down,0,1.2180553000071086,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
38,0,38,-5,down,0,0.6891317999979947,None,38,0,38,0,60.67750220000744,,60.67107520000718,60.67750220000744,61.665651999996044,61.67188589999569,62.35687909999979,-5,down,0,0.6891317999979947,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
39,0,39,0,up,1,0.6263983999961056,None,39,0,39,0,62.36263319999853,,62.35702140000649,62.36263319999853,63.34945380000863,63.35616830000072,63.97940579999704,0,up,1,0.6263983999961056,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
40,0,40,0,down,0,0.4487881999957608,None,40,0,40,0,63.98685889999615,,63.979524800000945,63.98685889999615,64.96852409999701,64.97959360000095,65.4231584000081,0,down,0,0.4487881999957608,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
41,0,41,0,down,0,0.5733987999992678,None,41,0,41,0,65.42812409999897,,65.42331430000195,65.42812409999897,66.4172447000019,66.4172447000019,66.99305900000036,0,down,0,0.5733987999992678,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
42,0,42,0,up,1,0.4958053000009386,None,42,0,42,0,66.99901700000919,,66.99326529999962,66.99901700000919,67.98666239999875,67.99278380000032,68.4840675000014,0,up,1,0.4958053000009386,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
43,0,43,0,up,1,0.36553739999362733,None,43,0,43,0,68.4900970000017,,68.48418929999752,68.4900970000017,69.47713349999685,69.4841876999999,69.84610120000434,0,up,1,0.36553739999362733,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
44,0,44,0,down,0,0.3559101999999257,None,44,0,44,0,69.8523930000083,,69.84622180000588,69.8523930000083,70.83518209999602,70.84139050000522,71.19293279999692,0,down,0,0.3559101999999257,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
45,0,45,0,up,1,0.27613510000810493,None,45,0,45,0,71.1980898000038,,71.19306089999736,71.1980898000038,72.18687820000923,72.18687820000923,72.46538340000552,0,up,1,0.27613510000810493,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
46,0,46,0,up,1,0.3076232000021264,None,46,0,46,0,72.47180919999664,,72.46550140000181,72.47180919999664,73.45956810000644,73.46414989999903,73.76866600000358,0,up,1,0.3076232000021264,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
47,0,47,0,down,0,0.3954109000042081,None,47,0,47,0,73.77444180000748,,73.76879719999852,73.77444180000748,74.76260260000709,74.7684878,75.16181659999711,0,down,0,0.3954109000042081,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
48,0,48,0,up,1,0.4320097000017995,None,48,0,48,0,75.16851859999588,,75.16197000000102,75.16851859999588,76.15641409999807,76.16242750000674,76.59289960000024,0,up,1,0.4320097000017995,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
49,0,49,0,up,1,0.43415749999985565,None,49,0,49,0,76.59863740000583,,76.5930520999973,76.59863740000583,77.58649100000912,77.592679399997,78.0230062000046,0,up,1,0.43415749999985565,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
50,0,50,0,down,0,0.24137409999093506,None,50,0,50,0,78.02956900000572,,78.02320229999896,78.02956900000572,79.01691210000718,79.02202580000449,79.25912020000396,0,down,0,0.24137409999093506,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
51,0,51,0,down,0,0.4917271000012988,None,51,0,51,0,79.26515910000307,,79.25923270000203,79.26515910000307,80.25245440000435,80.25934800000687,80.75048960000277,0,down,0,0.4917271000012988,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
52,0,52,0,up,1,0.4811123999970732,None,52,0,52,0,80.75607980000495,,80.75066859999788,80.75607980000495,81.74478079999972,81.74478079999972,82.22766010000487,0,up,1,0.4811123999970732,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
53,0,53,0,up,1,0.3391671999997925,None,53,0,53,0,82.2349763999955,,82.22779190000438,82.2349763999955,83.21673620000365,83.22899780000444,83.55643430000055,0,up,1,0.3391671999997925,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
54,0,54,0,up,1,0.469912700005807,None,54,0,54,0,83.56240340000659,,83.55655580000894,83.56240340000659,84.55027900000277,84.55631270000595,85.0221154000028,0,up,1,0.469912700005807,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
55,0,55,1,down,0,0.7307650000002468,None,55,0,55,0,85.02914579999924,,85.02230779999809,85.02914579999924,86.00972119999642,86.02252959999896,86.74305879999883,1,down,0,0.7307650000002468,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
56,0,56,0,up,1,0.39743900000758003,None,56,0,56,0,86.75004830000398,,86.74325709999539,86.75004830000398,87.73196990000724,87.74372650000441,88.13197270000819,0,up,1,0.39743900000758003,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
57,0,57,-1,down,0,0.8223992999992333,None,57,0,57,0,88.13814560000901,,88.1321300999989,88.13814560000901,89.12550959999498,89.131919499996,89.94994950000546,-1,down,0,0.8223992999992333,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
58,0,58,0,down,0,0.7521756000060122,None,58,0,58,0,89.95602470000449,,89.95007079999777,89.95602470000449,90.94418900000164,90.9500160000025,91.70180419999815,0,down,0,0.7521756000060122,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
59,0,59,0,up,1,0.49163630000839476,None,59,0,59,0,91.7074821999995,,91.70192210000823,91.7074821999995,92.69520380000176,92.701341100008,93.19190420000814,0,up,1,0.49163630000839476,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
60,0,60,0,up,1,0.6655371999950148,None,60,0,60,0,93.19841810000071,,93.19205320000765,93.19841810000071,94.18620490000467,94.19200940000883,94.85319599999639,0,up,1,0.6655371999950148,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
61,0,61,-3,down,0,0.5271551000041654,None,61,0,61,0,94.85900820000097,,94.8533269000036,94.85900820000097,95.84641900000861,95.8516660000023,96.37390819999564,-3,down,0,0.5271551000041654,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
62,0,62,0,up,1,0.6641738999896916,None,62,0,62,0,96.38032169999497,,96.37402350000048,96.38032169999497,97.36796139999933,97.3737484000012,98.03498440000112,0,up,1,0.6641738999896916,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
63,0,63,0,down,0,0.6937544999964302,None,63,0,63,0,98.03923249999934,,98.03513150000072,98.03923249999934,99.0269002999994,99.0269002999994,99.72525440000754,0,down,0,0.6937544999964302,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
64,0,64,0,up,1,0.4802505999978166,None,64,0,64,0,99.73032109999622,,99.7253844000079,99.73032109999622,100.71830429999682,100.71830429999682,101.20307129999856,0,up,1,0.4802505999978166,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
65,0,65,0,up,1,0.5142863999935798,None,65,0,65,0,101.20907860000443,,101.20320119999815,101.20907860000443,102.19217500000377,102.19690270000137,102.71210760000395,0,up,1,0.5142863999935798,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
66,0,66,0,up,1,0.561201999997138,None,66,0,66,0,102.71943310000643,,102.71222159999888,102.71943310000643,103.70086559999618,103.7117322999984,104.26480119999906,0,up,1,0.561201999997138,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
67,0,67,0,down,0,0.754856400002609,None,67,0,67,0,104.26909610000439,,104.26492020000296,104.26909610000439,105.25746880000224,105.25746880000224,106.01520580000943,0,down,0,0.754856400002609,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
68,0,68,0,up,1,0.059476900001754984,None,68,0,68,0,106.0222849999991,,106.01532420000876,106.0222849999991,107.00366070000746,107.015985799997,107.0645072000043,0,up,1,0.059476900001754984,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
69,0,69,0,up,1,0.5181509999965783,None,69,0,69,0,107.07059630000731,,107.06461680000939,107.07059630000731,108.0570771000057,108.06416150000587,108.5800212000031,0,up,1,0.5181509999965783,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
70,0,70,-1,down,0,0.6384015999938129,None,70,0,70,0,108.58577530000184,,108.58015170000726,108.58577530000184,109.57343289999699,109.5793180000037,110.21644820000802,-1,down,0,0.6384015999938129,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
71,0,71,0,up,1,0.5699863999907393,None,71,0,71,0,110.22192389999691,,110.21656149999762,110.22192389999691,111.20981080000638,111.21643230000336,111.78457109999727,0,up,1,0.5699863999907393,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
72,0,72,0,down,0,1.018283800003701,None,72,0,72,0,111.7913996999996,,111.78470030000608,111.7913996999996,112.77918179999688,112.78562629999942,113.7977685000078,0,down,0,1.018283800003701,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
73,0,73,0,up,1,0.6942226999963168,None,73,0,73,0,113.80383360000269,,113.7978804000013,113.80383360000269,114.7917318999971,114.79785160000029,115.48848220000218,0,up,1,0.6942226999963168,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
74,0,74,0,up,1,0.581115699998918,None,74,0,74,0,115.49367409999832,,115.4885956000071,115.49367409999832,116.48139529999753,116.48768469999777,117.06423430000723,0,up,1,0.581115699998918,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
75,0,75,0,up,1,0.7800971999968169,None,75,0,75,0,117.07070749999548,,117.06434720000834,117.07070749999548,118.05834930000128,118.06420910000452,118.8404678000079,0,up,1,0.7800971999968169,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
76,0,76,0,up,1,0.5698361999966437,None,76,0,76,0,118.84639310000057,,118.84062730000005,118.84639310000057,119.83388740000373,119.83873489999678,120.41067860000476,0,up,1,0.5698361999966437,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
